City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
293,Banyumas,ID,72.72,scattered clouds,-7.5142,109.2942,Hadipriyanto Homestay
295,Yoichi,JP,79.77,few clouds,43.2039,140.7703,Marumatta Farm 21
299,Belgrade,RS,71.26,clear sky,44.804,20.4651,Saruna Wellness - Hotel Park Belgrade
303,Pyay,MM,75.87,broken clouds,18.8167,95.2167,Shwe Pyi Thar
304,Presidente Epitacio,BR,71.87,clear sky,-21.7633,-52.1156,Hotel Itaverá
313,Gorontalo,ID,76.87,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
314,Xuanhua,CN,73.13,scattered clouds,40.6103,115.0447,Jinjiang Inn Zhangjiakou Xuanhua People's Park
327,Teruel,ES,72.88,few clouds,40.6667,-0.6667,La Parra
328,Shwebo,MM,77.56,overcast clouds,22.5667,95.7,MOON SHINE Guest House
329,Lagoa,PT,70.09,overcast clouds,39.05,-27.9833,Casa Das Faias
330,Santa Rosa Del Sur,CO,76.73,overcast clouds,7.9644,-74.0544,Hotel hoquidea del sur
342,Sao Filipe,CV,73.62,scattered clouds,14.8961,-24.4956,Hotel Xaguate
344,Padang,ID,77.09,overcast clouds,-0.9492,100.3543,Mercure Padang
345,Salalah,OM,77.09,drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
352,Jinchang,CN,78.01,clear sky,38.4953,102.1739,Mingshihui Jinchang International Hotel
353,Naples,IT,79.14,clear sky,40.8333,14.25,Renaissance Naples Hotel Mediterraneo
354,Masallatah,LY,73.33,clear sky,32.6167,14.0,Mustafa Taher Sowaidan
355,Kutum,SD,73.44,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
359,Angoche,MZ,73.49,scattered clouds,-16.2325,39.9086,Guest House HESADA
360,Lugovoy,KZ,73.27,clear sky,42.9472,72.7644,Ж.Д Вокзал Луговая
363,Niimi,JP,76.35,overcast clouds,34.9833,133.4667,備中路
365,Erenhot,CN,79.3,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
367,Meulaboh,ID,76.53,overcast clouds,4.1363,96.1285,Kost Pria
368,Poum,NC,73.44,clear sky,-20.2333,164.0167,Gîte kajeon
370,Eureka,US,74.12,few clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
371,Sudak,UA,72.59,scattered clouds,44.85,34.9667,Solari Beach
373,Carutapera,BR,75.25,few clouds,-1.195,-46.02,Lidera
378,Zhanakorgan,KZ,79.93,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
380,Nieuw Amsterdam,SR,79.14,few clouds,5.8833,-55.0833,Globe Hotel
382,Soverato,IT,75.15,clear sky,38.685,16.5499,Hotel San Domenico
383,Surt,LY,79.11,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
384,Codajas,BR,77.18,overcast clouds,-3.8367,-62.0569,Hotel Tucunaré
390,Tabou,CI,76.62,broken clouds,4.423,-7.3528,hotêl doufoulougou
391,Misratah,LY,79.36,clear sky,32.3754,15.0925,فندق الماسة
394,Orikum,AL,74.41,clear sky,40.3253,19.4714,Hotel Denta
395,Mudanya,TR,73.49,clear sky,40.3753,28.8822,Kılıç Otel
397,Sawai Madhopur,IN,78.75,light rain,25.9833,76.3667,Vivanta Sawai Madhopur Lodge
404,Praia,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
407,Thoen,TH,74.86,overcast clouds,17.6129,99.2161,Nakornthoen Hotel
408,Ouesso,CG,71.13,overcast clouds,1.6136,16.0517,ABENIE Hotel
409,Garden City,US,77.31,broken clouds,42.3256,-83.331,Quality Inn & Suites Banquet Center
410,Piacabucu,BR,73.53,clear sky,-10.4056,-36.4344,Piaçabuçu News
418,Najran,SA,75.85,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
421,Weligama,LK,77.13,overcast clouds,5.9667,80.4167,Weligama Bay Resort
433,Labuhan,ID,75.29,few clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
435,Touros,BR,76.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
437,Bonthe,SL,74.73,heavy intensity rain,7.5264,-12.505,Bonthe Holiday Village
442,Itamaraca,BR,75.88,few clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
443,Wamba,NG,70.86,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
446,Mogadishu,SO,76.55,few clouds,2.0371,45.3438,Hotel Juba
451,Bima,ID,71.28,clear sky,-8.4667,118.7167,Lambitu Hotel
452,Xihe,CN,77.63,overcast clouds,31.6864,113.4659,Xintiandi Business Hotel
458,Asfi,MA,71.64,broken clouds,32.2994,-9.2372,Hôtel Abda
461,Labuan,MY,79.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
472,Fukue,JP,79.97,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
475,Komsomolskiy,UZ,77.72,clear sky,40.4272,71.7189,Ikathouse
481,Naze,JP,79.72,light rain,28.3667,129.4833,奄美ポートタワーホテル
486,Alyangula,AU,73.27,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
488,Balikpapan,ID,77.99,mist,-1.2675,116.8289,ibis Balikpapan
492,Atambua,ID,70.11,scattered clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
493,Mariakani,KE,73.49,clear sky,-3.8633,39.4736,The County Luxury Comfort Hotels Ltd
495,Wanning,CN,78.58,broken clouds,18.8003,110.3967,Paradise Hotel
497,Cao Bang,VN,75.72,few clouds,22.6667,106.25,khách sạn 88
498,San Nicolas,PH,76.91,light rain,18.1725,120.5953,NORTHVIEW Hotel
501,Bayir,TR,75.72,clear sky,37.2687,28.2167,Hotel Babadag
503,Zarubino,RU,77.4,overcast clouds,42.63,131.0922,"""Okean"" Baza Otdykha"
504,Noumea,NC,73.0,clear sky,-22.2763,166.4572,Hôtel Le Lagon
508,Pemangkat,ID,78.1,overcast clouds,1.1667,108.9667,Ramah Kost KITA
509,Tongliao,CN,79.41,scattered clouds,43.6125,122.2653,Meirujia Hotel
510,Bubaque,GW,79.41,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
518,Sinnamary,GF,79.5,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
520,Mukdahan,TH,73.56,light rain,16.5833,104.5,Ban Kham Phung
524,Gat,IL,79.48,broken clouds,31.61,34.7642,OlusHome
526,Vila Franca Do Campo,PT,70.21,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
527,Nakamura,JP,77.25,overcast clouds,32.9833,132.9333,Hotel Crown Hills Nakamura
535,Yamada,JP,78.03,scattered clouds,39.4667,141.95,Iroha-ya Inn
537,Goderich,CA,79.21,scattered clouds,43.7501,-81.7165,Harmony Inn
544,Burriana,ES,79.7,scattered clouds,39.889,-0.085,Hotel Beatriz
545,Harper,LR,75.22,broken clouds,4.375,-7.7169,Screensaver
548,Moroni,KM,75.27,clear sky,-11.7022,43.2551,Hotel les Arcades
553,Hobyo,SO,76.75,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
555,Tarakan,ID,79.27,moderate rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
565,Terenos,BR,78.51,clear sky,-20.4422,-54.8603,Rancho Pitzer
566,Issia,CI,70.61,overcast clouds,6.4922,-6.5856,Résidence Hôtel Ange Anaé
569,Malindi,KE,75.94,clear sky,-3.2175,40.1191,African House Resort
575,Semporna,MY,77.2,overcast clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
577,Na Wa,TH,78.21,overcast clouds,17.4897,104.1006,ร้านช่างเจมส์ สแตนเลส ประตู อื่นๆ คอกซิ่ง นาหว้านครพนม
580,Shingu,JP,79.92,broken clouds,33.7333,135.9833,Shingu UI Hotel
585,Ambon,ID,77.14,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
587,Kotaparh,IN,72.37,light rain,19.15,82.35,Bablu Bikash Marg
591,Entebbe,UG,71.92,broken clouds,0.0644,32.4469,WB APARTMENT
595,Karatau,KZ,73.2,clear sky,43.1667,70.4667,Baza Zika
596,Finschhafen,PG,79.2,overcast clouds,-6.6024,147.8681,Cossam Guest House
601,Miajadas,ES,73.78,clear sky,39.1513,-5.9084,Hotel Triana
604,Ohafia,NG,70.29,overcast clouds,5.6167,7.8333,Hill Flower Hotel
610,Kamaishi,JP,77.79,scattered clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
612,Penalva,BR,76.33,few clouds,-3.2942,-45.1736,Hotel São José
