City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Ilulissat,GL,69.2167,-51.1,44.62,81,20,8.05,few clouds
80,Kruisfontein,ZA,-34.0033,24.7314,43.97,77,35,5.46,scattered clouds
81,Tual,ID,-5.6667,132.75,79.75,80,100,17.02,overcast clouds
82,Pomichna,UA,48.2422,31.4158,60.17,74,0,5.66,clear sky
83,Bluff,NZ,-46.6,168.3333,48.79,74,72,9.86,broken clouds
84,Hibbing,US,47.4272,-92.9377,88.95,58,1,9.22,clear sky
85,Bafoulabe,ML,13.8065,-10.8321,77.65,85,73,6.35,broken clouds
86,Acopiara,BR,-6.0953,-39.4525,81.03,40,58,5.88,broken clouds
87,Bayan,CN,46.0833,127.4,78.06,75,49,9.93,scattered clouds
88,Punta Arenas,CL,-53.15,-70.9167,37.51,87,40,19.57,light rain
89,Anqing,CN,30.5092,117.0506,77.38,85,9,11.1,clear sky
90,Xochihuehuetlan,MX,17.9167,-98.4333,85.95,31,5,10.94,clear sky
91,Iguape,BR,-24.7081,-47.5553,61.99,92,0,6.22,clear sky
92,Takaungu,KE,-3.6837,39.8566,75.69,79,24,21.39,few clouds
93,Tateyama,JP,34.9833,139.8667,86.14,77,1,4.07,clear sky
94,Miandrivazo,MG,-19.5167,45.4667,66.52,81,4,3.42,clear sky
95,Kahului,US,20.8947,-156.47,86.02,74,40,27.63,scattered clouds
96,Cape Town,ZA,-33.9258,18.4232,49.26,68,0,2.3,clear sky
97,Barrow,US,71.2906,-156.7887,37.42,87,90,17.27,moderate rain
98,Cidreira,BR,-30.1811,-50.2056,59.63,80,0,8.21,clear sky
99,Yellowknife,CA,62.456,-114.3525,70.32,77,75,3.0,light intensity shower rain
100,New Norfolk,AU,-42.7826,147.0587,45.75,79,75,3.27,broken clouds
101,Brae,GB,60.3964,-1.353,53.51,93,63,6.64,broken clouds
102,Zaysan,KZ,47.4667,84.8667,66.4,55,24,3.51,few clouds
103,Sri Aman,MY,1.2376,111.4621,77.09,94,99,0.0,overcast clouds
104,Kumla,SE,59.1277,15.1434,56.34,87,4,2.3,clear sky
