City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Tezu,IN,2021-07-23 16:24:57,27.9167,96.1667,78.64,91,46,3.94
67,Hobart,AU,2021-07-23 16:21:58,-42.8794,147.3294,48.25,76,50,1.01
68,High Level,CA,2021-07-23 16:27:06,58.5169,-117.136,64.51,77,75,4.61
69,Rawson,AR,2021-07-23 16:20:21,-43.3002,-65.1023,52.83,35,0,27.38
70,Cidreira,BR,2021-07-23 16:21:07,-30.1811,-50.2056,66.92,63,9,7.72
71,Port Alfred,ZA,2021-07-23 16:19:54,-33.5906,26.891,53.17,63,69,8.59
72,Ilulissat,GL,2021-07-23 16:19:50,69.2167,-51.1,46.42,76,75,4.61
73,Tskaltubo,GE,2021-07-23 16:27:07,42.3254,42.5979,68.94,88,75,4.61
74,Sao Gabriel Da Cachoeira,BR,2021-07-23 16:27:07,-0.1303,-67.0892,82.2,94,40,3.44
75,Chuy,UY,2021-07-23 16:19:46,-33.6971,-53.4616,65.93,64,6,8.21
76,Kavieng,PG,2021-07-23 16:20:18,-2.5744,150.7967,81.21,80,37,12.37
77,Kuytun,RU,2021-07-23 16:27:07,54.3419,101.5036,58.62,78,17,2.28
78,Punta Arenas,CL,2021-07-23 16:14:59,-53.15,-70.9167,41.11,75,20,19.57
79,Clyde River,CA,2021-07-23 16:20:13,70.4692,-68.5914,35.83,93,90,25.32
80,Ponta Do Sol,PT,2021-07-23 16:19:55,32.6667,-17.1,81.72,67,4,4.07
81,Kruisfontein,ZA,2021-07-23 16:24:43,-34.0033,24.7314,48.88,77,93,5.91
82,Mareeba,AU,2021-07-23 16:27:08,-17.0,145.4333,63.45,96,19,2.01
83,Cockburn Town,TC,2021-07-23 16:24:05,21.4612,-71.1419,87.76,66,40,13.8
84,Nagydorog,HU,2021-07-23 16:27:08,46.6275,18.6556,79.99,31,2,2.89
85,Ribeira Grande,PT,2021-07-23 16:20:31,38.5167,-28.7,73.8,88,75,14.97
86,Maragogi,BR,2021-07-23 16:21:43,-9.0122,-35.2225,78.28,74,39,15.43
87,Tura,IN,2021-07-23 16:21:02,25.5198,90.2201,75.4,93,100,5.97
88,Necochea,AR,2021-07-23 16:23:48,-38.5473,-58.7368,65.03,53,98,10.63
89,Saint-Philippe,RE,2021-07-23 16:23:18,-21.3585,55.7679,69.39,74,58,6.11
90,Aguilas,ES,2021-07-23 16:27:09,37.4063,-1.5829,107.2,46,24,5.82
91,Komsomolskiy,UZ,2021-07-23 16:24:17,40.4272,71.7189,88.52,29,24,0.0
92,Shingu,JP,2021-07-23 16:17:49,33.7333,135.9833,76.91,92,67,3.58
93,Butaritari,KI,2021-07-23 16:19:55,3.0707,172.7902,82.83,77,64,15.3
94,Pahrump,US,2021-07-23 16:27:10,36.2083,-115.9839,95.95,25,100,5.99
95,Barcelos,PT,2021-07-23 16:18:59,41.5388,-8.6151,76.28,63,21,9.73
96,Kapaa,US,2021-07-23 16:17:55,22.0752,-159.319,74.12,84,65,4.0
97,Tazmalt,DZ,2021-07-23 16:27:10,36.3868,4.3989,104.77,13,0,6.24
98,Nyurba,RU,2021-07-23 16:19:06,63.2842,118.3319,61.7,75,98,4.12
99,Sivaki,RU,2021-07-23 16:23:56,52.6333,126.75,70.79,95,81,9.89
100,Salalah,OM,2021-07-23 16:20:52,17.0151,54.0924,78.89,94,90,9.22
101,Jamestown,US,2021-07-23 16:19:51,42.097,-79.2353,75.33,64,75,11.5
102,Bahia Blanca,AR,2021-07-23 16:20:28,-38.7196,-62.2724,61.77,29,100,10.0
103,Itarema,BR,2021-07-23 16:21:04,-2.9248,-39.9167,87.66,49,6,18.48
104,Turayf,SA,2021-07-23 16:24:27,31.6725,38.6637,91.65,27,0,13.8
105,Solnechnyy,RU,2021-07-23 16:24:48,50.7214,136.6319,75.38,82,58,3.6
106,Nikolskoye,RU,2021-07-23 16:19:49,59.7035,30.7861,67.89,51,97,2.73
107,Mount Gambier,AU,2021-07-23 16:20:26,-37.8333,140.7667,46.31,100,75,13.8
108,Zaykovo,RU,2021-07-23 16:27:11,57.5613,62.7568,65.93,73,100,1.45
109,East London,ZA,2021-07-23 16:20:07,-33.0153,27.9116,49.14,76,0,8.05
110,Tungor,RU,2021-07-23 16:27:11,53.3808,142.9564,61.9,99,91,5.84
111,Kashi,CN,2021-07-23 16:27:12,39.4547,75.9797,81.23,44,20,0.0
112,Georgetown,MY,2021-07-23 16:19:48,5.4112,100.3354,84.88,84,20,2.3
113,Vanimo,PG,2021-07-23 16:27:12,-2.6741,141.3028,77.74,90,100,6.53
114,Balykshi,KZ,2021-07-23 16:27:12,47.0667,51.8667,80.6,74,75,11.18
115,Santa Rosalia,MX,2021-07-23 16:27:13,27.3167,-112.2833,86.5,54,63,1.95
116,Kovur,IN,2021-07-23 16:27:13,14.4833,79.9833,84.83,59,100,16.67
117,Dunedin,NZ,2021-07-23 16:24:38,-45.8742,170.5036,43.81,77,59,4.47
118,Angra Dos Reis,BR,2021-07-23 16:24:09,-23.0067,-44.3181,78.76,58,0,5.41
119,Torbay,CA,2021-07-23 16:20:30,47.6666,-52.7314,63.75,94,90,8.05
120,Linares,CL,2021-07-23 16:27:13,-35.85,-71.6,57.52,61,100,6.46
121,Saskylakh,RU,2021-07-23 16:20:17,71.9167,114.0833,59.67,81,36,5.26
122,Tougan,BF,2021-07-23 16:27:14,13.0667,-3.0667,91.87,40,63,7.16
123,Lakeside,US,2021-07-23 16:24:43,30.13,-81.7682,93.02,68,40,1.01
124,Airai,TL,2021-07-23 16:19:56,-8.9266,125.4092,54.93,56,5,3.02
125,Zyryanka,RU,2021-07-23 16:25:47,65.75,150.85,52.59,79,100,1.74
126,Longyearbyen,SJ,2021-07-23 16:23:18,78.2186,15.6401,49.84,71,75,16.11
127,Aranos,NA,2021-07-23 16:21:33,-24.1333,19.1167,54.99,17,0,10.16
128,Kosonsoy,UZ,2021-07-23 16:27:14,41.2561,71.5508,77.56,28,17,6.2
129,Cabo San Lucas,MX,2021-07-23 16:21:40,22.8909,-109.9124,93.81,56,1,1.01
130,Iqaluit,CA,2021-07-23 16:20:05,63.7506,-68.5145,55.13,67,75,10.36
131,Znamenskoye,RU,2021-07-23 16:27:15,57.1281,73.8282,73.33,63,1,10.16
132,Shangqiu,CN,2021-07-23 16:27:15,34.45,115.65,76.48,87,71,6.8
133,Hofn,IS,2021-07-23 16:24:35,64.2539,-15.2082,53.62,94,90,3.44
134,Saint George,US,2021-07-23 16:15:13,37.1041,-113.5841,90.54,59,1,1.01
135,Glenwood Springs,US,2021-07-23 16:25:00,39.5505,-107.3248,76.8,60,40,0.0
136,Yulara,AU,2021-07-23 16:24:00,-25.2406,130.9889,49.84,46,1,5.75
137,Praia Da Vitoria,PT,2021-07-23 16:24:40,38.7333,-27.0667,80.85,65,75,9.35
138,Kiunga,PG,2021-07-23 16:19:16,-6.1219,141.2906,73.08,100,100,1.68
139,San Cristobal,VE,2021-07-23 16:24:09,7.7669,-72.225,82.58,69,94,6.8
140,Bonavista,CA,2021-07-23 16:18:13,48.6499,-53.1147,58.12,96,100,10.16
141,Coffs Harbour,AU,2021-07-23 16:23:09,-30.3,153.1333,48.16,91,4,4.61
142,Namibe,AO,2021-07-23 16:25:16,-15.1961,12.1522,71.4,77,3,9.84
143,Naze,JP,2021-07-23 16:21:07,28.3667,129.4833,77.77,90,100,28.32
144,Bengkulu,ID,2021-07-23 16:20:19,-3.8004,102.2655,76.39,85,65,4.18
145,Karratha,AU,2021-07-23 16:18:42,-20.7377,116.8463,73.06,35,3,11.92
146,Novaya Igirma,RU,2021-07-23 16:27:16,57.1334,103.9112,56.62,94,11,2.13
147,Wangqing,CN,2021-07-23 16:27:16,43.3218,129.7634,73.94,83,100,1.81
148,Ahipara,NZ,2021-07-23 16:20:36,-35.1667,173.1667,49.71,84,1,3.0
149,Nampula,MZ,2021-07-23 16:27:17,-15.1165,39.2666,69.75,83,90,5.75
150,Bonoua,CI,2021-07-23 16:27:17,5.2741,-3.595,82.02,65,92,9.15
151,Liberia,LR,2021-07-23 16:27:17,6.5,-9.5,72.25,95,100,3.94
152,Utica,US,2021-07-23 16:27:17,43.1009,-75.2327,75.34,69,60,4.32
153,Sibu,MY,2021-07-23 16:27:18,2.3,111.8167,79.11,94,40,0.0
154,Gillette,US,2021-07-23 16:27:18,44.2911,-105.5022,81.25,40,1,8.01
